iso_code,name_fr,continent,date,new_deaths_smoothed
FRA,France,Europe,2021-01-01,334.857
FRA,France,Europe,2021-01-02,336.286
FRA,France,Europe,2021-01-03,328.143
FRA,France,Europe,2021-01-04,330.571
FRA,France,Europe,2021-01-05,316.143
FRA,France,Europe,2021-01-06,313.0
FRA,France,Europe,2021-01-07,316.571
FRA,France,Europe,2021-01-08,382.0
FRA,France,Europe,2021-01-09,383.714
FRA,France,Europe,2021-01-10,388.714
FRA,France,Europe,2021-01-11,378.286
FRA,France,Europe,2021-01-12,360.286
FRA,France,Europe,2021-01-13,352.714
FRA,France,Europe,2021-01-14,353.857
FRA,France,Europe,2021-01-15,360.286
FRA,France,Europe,2021-01-16,363.857
FRA,France,Europe,2021-01-17,362.429
FRA,France,Europe,2021-01-18,375.571
FRA,France,Europe,2021-01-19,363.286
FRA,France,Europe,2021-01-20,374.857
FRA,France,Europe,2021-01-21,383.857
FRA,France,Europe,2021-01-22,385.714
FRA,France,Europe,2021-01-23,391.0
FRA,France,Europe,2021-01-24,395.429
FRA,France,Europe,2021-01-25,401.429
FRA,France,Europe,2021-01-26,395.429
FRA,France,Europe,2021-01-27,401.143
FRA,France,Europe,2021-01-28,400.714
FRA,France,Europe,2021-01-29,425.286
FRA,France,Europe,2021-01-30,426.857
FRA,France,Europe,2021-01-31,430.143
FRA,France,Europe,2021-02-01,431.571
FRA,France,Europe,2021-02-02,447.571
FRA,France,Europe,2021-02-03,448.714
FRA,France,Europe,2021-02-04,399.571
FRA,France,Europe,2021-02-05,426.286
FRA,France,Europe,2021-02-06,419.143
FRA,France,Europe,2021-02-07,415.714
FRA,France,Europe,2021-02-08,416.286
FRA,France,Europe,2021-02-09,416.0
FRA,France,Europe,2021-02-10,407.143
FRA,France,Europe,2021-02-11,458.571
FRA,France,Europe,2021-02-12,406.714
FRA,France,Europe,2021-02-13,407.857
FRA,France,Europe,2021-02-14,407.286
FRA,France,Europe,2021-02-15,400.429
FRA,France,Europe,2021-02-16,380.857
FRA,France,Europe,2021-02-17,382.857
FRA,France,Europe,2021-02-18,370.143
FRA,France,Europe,2021-02-19,359.714
FRA,France,Europe,2021-02-20,353.714
FRA,France,Europe,2021-02-21,352.571
FRA,France,Europe,2021-02-22,341.429
FRA,France,Europe,2021-02-23,319.143
FRA,France,Europe,2021-02-24,314.571
FRA,France,Europe,2021-02-25,313.143
FRA,France,Europe,2021-02-26,308.429
FRA,France,Europe,2021-02-27,312.429
FRA,France,Europe,2021-02-28,307.143
FRA,France,Europe,2021-03-01,313.0
FRA,France,Europe,2021-03-02,311.143
FRA,France,Europe,2021-03-03,317.429
FRA,France,Europe,2021-03-04,322.0
FRA,France,Europe,2021-03-05,307.714
FRA,France,Europe,2021-03-06,305.571
FRA,France,Europe,2021-03-07,306.714
FRA,France,Europe,2021-03-08,305.0
FRA,France,Europe,2021-03-09,297.429
FRA,France,Europe,2021-03-10,287.429
FRA,France,Europe,2021-03-11,285.143
FRA,France,Europe,2021-03-12,254.286
FRA,France,Europe,2021-03-13,254.143
FRA,France,Europe,2021-03-14,265.143
FRA,France,Europe,2021-03-15,262.0
FRA,France,Europe,2021-03-16,267.0
FRA,France,Europe,2021-03-17,243.429
FRA,France,Europe,2021-03-18,264.143
FRA,France,Europe,2021-03-19,273.0
FRA,France,Europe,2021-03-20,274.143
FRA,France,Europe,2021-03-21,264.286
FRA,France,Europe,2021-03-22,264.571
FRA,France,Europe,2021-03-23,248.571
FRA,France,Europe,2021-03-24,271.286
FRA,France,Europe,2021-03-25,243.143
FRA,France,Europe,2021-03-26,330.571
FRA,France,Europe,2021-03-27,332.571
FRA,France,Europe,2021-03-28,331.571
FRA,France,Europe,2021-03-29,334.0
FRA,France,Europe,2021-03-30,347.286
FRA,France,Europe,2021-03-31,355.429
FRA,France,Europe,2021-04-01,367.286
FRA,France,Europe,2021-04-02,286.571
FRA,France,Europe,2021-04-03,259.429
FRA,France,Europe,2021-04-04,293.429
FRA,France,Europe,2021-04-05,270.143
FRA,France,Europe,2021-04-06,276.571
FRA,France,Europe,2021-04-07,235.143
FRA,France,Europe,2021-04-08,298.571
FRA,France,Europe,2021-04-09,252.0
FRA,France,Europe,2021-04-10,253.429
FRA,France,Europe,2021-04-11,300.143
FRA,France,Europe,2021-04-12,327.0
FRA,France,Europe,2021-04-13,315.429
FRA,France,Europe,2021-04-14,356.0
FRA,France,Europe,2021-04-15,290.857
FRA,France,Europe,2021-04-16,337.286
FRA,France,Europe,2021-04-17,362.714
FRA,France,Europe,2021-04-18,283.286
FRA,France,Europe,2021-04-19,292.143
FRA,France,Europe,2021-04-20,296.286
FRA,France,Europe,2021-04-21,301.429
FRA,France,Europe,2021-04-22,298.714
FRA,France,Europe,2021-04-23,298.857
FRA,France,Europe,2021-04-24,302.857
FRA,France,Europe,2021-04-25,303.571
FRA,France,Europe,2021-04-26,296.571
FRA,France,Europe,2021-04-27,292.714
FRA,France,Europe,2021-04-28,290.143
FRA,France,Europe,2021-04-29,294.571
FRA,France,Europe,2021-04-30,288.571
FRA,France,Europe,2021-05-01,285.0
FRA,France,Europe,2021-05-02,280.429
FRA,France,Europe,2021-05-03,268.0
FRA,France,Europe,2021-05-04,255.143
FRA,France,Europe,2021-05-05,245.0
FRA,France,Europe,2021-05-06,232.286
FRA,France,Europe,2021-05-07,226.714
FRA,France,Europe,2021-05-08,224.429
FRA,France,Europe,2021-05-09,224.714
FRA,France,Europe,2021-05-10,222.0
FRA,France,Europe,2021-05-11,221.143
FRA,France,Europe,2021-05-12,212.571
